,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2001-01-02,2603,4808000,107223300,22.1,22.6,21.7,22.3,0.2,1492
1,2001-01-03,2603,4046357,89619052,22.1,22.5,21.8,22.1,-0.2,1290
2,2001-01-04,2603,5694655,130106262,22.8,23.2,22.5,23.0,0.9,1797
3,2001-01-05,2603,5209628,117244121,22.8,22.8,22.2,22.8,-0.2,1351
4,2001-01-08,2603,6909798,161820366,22.5,24.0,22.5,22.9,0.1,1875
5,2001-01-09,2603,4187990,96721764,23.2,23.4,22.8,23.2,0.3,1194
6,2001-01-10,2603,4936128,115654770,23.3,23.8,23.0,23.0,-0.2,1251
7,2001-01-11,2603,5066338,117190325,23.2,23.5,22.8,23.0,0.0,1188
8,2001-01-12,2603,1959160,44876078,23.3,23.3,22.6,22.6,-0.4,642
9,2001-01-15,2603,2969443,68643168,22.5,24.0,22.4,23.7,1.1,1030
10,2001-01-16,2603,8823972,214008566,23.7,24.8,23.6,24.7,1.0,2117
11,2001-01-17,2603,6427131,156246761,24.5,24.7,24.1,24.1,-0.6,1816
12,2001-01-18,2603,9342703,220234750,24.1,24.2,23.2,23.3,-0.8,2406
13,2001-01-29,2603,5210000,121778200,23.0,23.8,22.7,22.7,-0.6,1425
14,2001-01-30,2603,3658582,83499856,22.8,23.3,22.5,22.9,0.2,1067
15,2001-01-31,2603,4666668,108285407,23.2,23.4,23.0,23.2,0.3,1093
16,2001-02-01,2603,3567640,82553136,23.2,23.7,22.6,22.7,-0.5,1184
17,2001-02-02,2603,5521243,128265494,22.8,23.6,22.7,23.1,0.4,1699
18,2001-02-05,2603,13846039,331956664,23.1,24.6,23.0,24.1,1.0,3148
19,2001-02-06,2603,7273091,175338605,24.4,24.7,23.1,23.1,-1.0,1654
20,2001-02-07,2603,4420273,103194400,23.1,23.6,23.1,23.2,0.1,977
21,2001-02-08,2603,2463107,57701712,23.6,23.8,23.0,23.0,-0.2,675
22,2001-02-09,2603,4844738,114811331,23.5,24.3,23.2,23.5,0.5,1190
23,2001-02-12,2603,3530293,84664975,24.3,24.4,23.5,23.6,0.1,1070
24,2001-02-13,2603,2783732,65517023,23.6,24.0,23.2,23.5,-0.1,912
